id,name,review_count,rating
NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,281,4.0
oHYOa9l5aLOQpJ8dF6sDmA,Menya Raizo,68,4.0
3sTVFA9wQQT_7RTUj_g1rw,Donair Spot,42,4.0
1AA4EjIIXywxOSnbyZ9vLA,Pho Extreme Xe Lua,101,2.5
31ag-M_QiaycGQrvAi169w,Jollibee,7,4.0
5nGTOnj9Fwb2hZUP3JQPVg,Pizzamia Gourmet Pizza Bar,5,4.5
RVqYrtjaMZFdNUjfM8plVA,Starbucks,3,4.5
SjoGSiEVXN6u9SHFZ7CWRw,A&W,16,2.0
yNGbRPKzTMGheRpqA2noNg,Walking Figures,2,3.0
O8I2UEhzIiTF_lFbIHvJ-Q,Aisha Tandoori,4,2.5
f7jEEU1I96mqji4B65pLBA,Subway,1,1.0
NdEPf2Ls5Ql3_nkwjqKvXA,The Flying Pig,1230,4.0
gV9lrbWr1CE1Jl0E58UO2g,Minami,727,4.0
htvl5L_V-zKN0UvUgP60PQ,Robba da Matti,473,4.0
mkqiEUO9KZbYtFPaDGxT0w,MeeT in Yaletown,150,4.0
33vTX7D5up56a1dm_AGsUQ,Mister,269,4.0
sPPMSEvhjkWcJUPA9DtX7w,Loving Hut Express,63,4.5
BvzP3ytN5VWLAelR5i-DYA,The Yaletown Distillery Bar + Kitchen,188,3.5
tdcbwxEP8JZfgx1NaRS9-g,Hapa Izakaya,203,3.5
pzPNqJuBgkzDb9DV2fvjfQ,Salsa & Agave Mexican Grill,204,3.5
f7Sr6NKUtQYCZZSvYiNvtA,Cactus Club Cafe,204,3.5
ApjtI5aULYXY4IXm_WNVjw,Sushi Maro,85,3.5
0zErZVaaOhJUV1lNEqEc6Q,Bistro Sakana,131,3.5
Vbxro_sbR21MXBsoqE_ogQ,Starbucks,24,4.0
ai64rPmUd14onCCkwDSoCA,Cha Yuan,18,4.5
nnffEZLV13xqsjTIxXeqIA,Little Saigon Yaletown,95,3.5
6we9hSReCQ0urWSMoHDfpA,Black Echo Coffee,11,4.5
NqNVJzRLCVojpC_qk9QQeQ,Capo & The Spritz,25,3.5
DhKfYlqLf5kKVC-XCByi_w,OPUS Bar,21,3.5
_734xg7ZVHgBrTxojRunyQ,Paulies Kitchen,46,3.0
D4SQ5UvvAcuGP5q685952Q,Bar None Nightclub,67,2.5
AX_6GWJ8gPBrrnxeJgTN-A,Mapo Pancake House,8,4.0
zSVlSPVRWk2I9u28cE8brw,Zab Zaab Thai Cuisine,7,4.5
TLoyQDuaF2WVEBFG5arcJg,DQ / Orange Julius,12,3.5
yQsbaC5AHvKgcCw347vcvA,Panago Pizza,33,2.5
N-Ahs69EtsSiclDTdm1ekA,Obanhmi,4,5.0
XQrDcM6Slk65d1sjxky-lQ,Grab N Go,3,5.0
SfzXH5rwrUCbTA5nimEW_A,Subway,16,2.5
AyPsfJ4SsDwoP2bmXD44Ng,Freshslice Pizza,10,3.5
Shhhpxpg51ZXz9-CovBI_g,Aburi To Go,4,4.5
-D7PKtHkig9PpBg7oRYEzQ,Faubourg,3,3.5
hDQmMvYXpLVXwhXSu9HsOQ,Nightingale,437,4.0
BdHvzCsxbLCErx36UcnMZQ,Meat & Bread,209,4.0
A2bK8SMYMQfNs3WgICHZyw,JOEY Bentall One,220,3.5
11DWf_QsuFIVaH26jEorow,Kamei Royale Japanese Restaurant,192,3.5
p3N67zgxmRsEyiO2S16aZw,Chewies Steam & Oyster Bar,240,3.5
Sj94I82l_cUvFDkMiQXuLw,Koffie,49,4.0
ME4x6MC86Z-Ewc1pT0JWKg,Bovine,37,4.5
b102gNXJjaOSsDc3G1ePTQ,Fujiya,80,3.5
bWmgiuAxZC60YoE1IgMiHg,Tacofino Oasis,33,4.0
_FilivvpCbfT3vac3P_oiA,The Butcher & Bullock,104,3.5
aXfCILskLB148tV_gkcGqw,Tim Hortons,12,2.5
oPAvVk2g_FUQOioH5RP9fA,Quiznos,20,2.0
ajO3_KCeodunpWlQKjQ1_Q,Chop n Toss,12,3.0
YBN_9DtaoR5YdMR_5a-BlA,Fortune Express,9,2.0
gTxy81npm0Y3QYGoUEoF9A,Kuroi Sushi,4,3.5
c8X4kKXVxMIyC0aq5KLadw,Starbucks,9,2.5
6Co80lXA-nB2PnG-gyvipA,Blenz Coffee,6,2.0
8-hAnm8pdLGgiODUqX0UDA,A&W,2,3.5
lhsezQPwPPI9JbSWz6imxg,The Bagel Stop,10,2.5
3BJOc0BZvfljw06OTITEJQ,Aidan's,1,4.0
ldFf9NPNeV3b5r5IhGzN3w,Enzo's Cafe,6,2.0
BcZaxpNs-g-U7__CpZMO_A,Vina Vietnamese,2,3.0
rklUKuLFAafqZ61vfD7e1w,Opa Souvlaki of Greece,2,1.0
-Zwr2XYLcZkd7I1wg8GYLw,Kiosk coffee,3,2.0
CoK_Qxi-2Hom8dJSIIzkzA,Cafe Rio,2,1.0
iHgpWa4sNnjGjPsZIi-VNw,The Ellis,77,4.5
QHwx44M5TtXiwqU_0-VfXg,Nook,158,4.0
r6ky7WzDTgjZSxWFqa2l8w,Local Public Eatery,277,3.5
M4jkJHewQXZvDV34Tuon8g,Chewies Steam & Oyster Bar - Kits,290,3.5
PpPVbWqcPaUbtnWIYTcMsQ,Café Zen On Yew,163,3.5
jd0XyZCTzMOwiSrVjCwcpQ,Viva Fine Foods & Bakery,60,4.0
qn_lvX0D27u38UzAL4pa1g,The Cider House,22,4.5
DJGoBfUSZ955bNQAK6aBog,Kibune Sushi,64,3.5
bUyJ7AHN-dXCewS0NVw7jQ,Lucky Taco,57,3.5
3o_uedOTplKebCqHw6H86A,Thai Basil,57,3.5
YXooKYy632AGmzjqjBrutA,Paradiso Italian Gelato,24,3.5
htZ2lOcEJ3BRhwMehZgI7A,Kits Cafe and Eyewear,2,5.0
vN-OSZtWPZRrxgRt6Zdx6A,King’s Head Public House,5,4.0
rQOpafcLorc_rPDPOKjfGg,Mun Chicken,1,4.0
guvAcx5czb6IqmuED1E-uA,Enroute,1,1.0
64drFDGorfQPecRLP-lThw,Obanhmi,6,5.0
fC7Nik_Eyhth4l9wFB2Qpg,Feel City BBQ,9,3.5
TZ2fpNhNWH2tmFI-kIG_yw,Budgies Burritos,278,4.0
3c5iJ9DQPt3R7Do1WaaW-w,La Petite Cuillère,140,4.0
r-njwQQ57eF8ejv2QclItA,AJ's Brooklyn Pizza Joint,122,4.5
STTsnEapJPt4ZR1sQ3hNig,Level V Bakery,27,4.5
UjDZwOEn1Cx3o906B541EQ,Hime Sushi Restaurant,88,3.5
IO51VcyNBLtRGl4FF8bOmw,Whisk Matcha,34,4.0
YUWUwIv6WrwHda81WqNVwg,Hime Sushi,49,3.0
Ri0V6nyH0qOQH6e5vtDQ0Q,Kin Kao Song,12,4.0
TPSicxGE9Fc9c0377PHmtg,Pizza Pizza,12,2.5
vi0pI7ghshOZ3JHe3WE5jw,Western Front,2,4.0
RXaSRc5rWu7kr6A6yl6cWw,Freshii,7,2.5
FD4jKJCMQrvLtS17Pg0rZg,Quesada Burritos & Tacos,1,4.0
esiq28ryKqk7G_xwDyJxkg,Koyuki Sapporo Ramen,91,3.5
viTut7TZzcR2Q8HAtqe8Zw,Tim Hortons,46,3.5
a9P_JDakVrbunkghXHM9ug,Coco Rico Cafe,74,3.5
1UkzvVfUk0_MSTm6G34fMA,Bella Gelateria,10,4.5
B2UbgKVGP6P7HhD4DtYP8A,Ahwaz Hookah House,22,3.5
Kv9c395EanG-Xv8pp8j_fg,miss KOREA BBQ,29,2.5
ZfsWvQRC1nhMOcD67rcFtQ,Wasabi Restaurant,3,3.5
kajMc2fkWKdzKJ1M4pm47Q,Stanley Park,1035,5.0
1KSuwOYn_bmhAEAgUriYYA,Kissa Tanto,269,4.0
RfcPs1GmBErgev2CJlkfQA,Manpuku Bento,38,4.5
d0YyLeHs90eNBCACc6_WIw,Barbara,14,4.5
_x53w2dzVJiLW7vLd7qbjw,Sun Fresh Bakery House,48,4.0
ZaO2ZLbdk-D269iNtYqDWg,La Boqueria,27,4.0
V7WrmzvsMbJZNQ6uf5K6Vw,Dollar Meat Store,21,4.5
8NvMeQwuy_wT37C4_J3BHg,Zhao Mah Bakery,14,4.5
F-TYP2zuIwlqEwjW80d5Ew,Maxim's Bakery,37,3.5
Y8W-6QrUxLlUcm2kHDhyZg,Kevin & Kevin,22,3.5
5rZKOedzldGFx0LNeWdQ0A,Maxim's Restaurant,25,4.0
4n-aj1CTTbDXm5UxdsaKQw,Sing Chong Food Centre,7,4.0
gmCJoBAV2M9VIWJ1X4RIAQ,Savoy Pub,7,3.5
QbvMaN8JekZh9HWRn9e0LA,Addah,3,4.0
DllpjPUSLdhGLIWqUl8cFQ,La Casa Gelato,421,4.0
QmkGDL-8zexdKV3Xcn8ZYg,OEB Breakfast Co. Yaletown,638,4.5
psiDEOaU5uS6REGJMVkUWw,Baggio Gelateria & Pizzaeria,59,3.0
njnqb8mGCy_JMKL9_9szbg,Seahouse Restaurant,6,2.5
kzxedaXoGWb4u4fnmjWBdQ,Uprising Breads Bakery,55,3.5
9Waotz-_G9woVPWZTmZcwA,Lunch Lady,157,4.0
l0cLT4c59zu0H8MVwp7vqA,Sula Indian Restaurant,238,4.0
G-Ugj0M9x_-nL_t2yLUk3w,Moja Coffee,77,4.0
deJiY5QyxKHe1IL4UZrH6Q,Eternal Abundance,116,4.0
MILJRoy07iy0bZUnR0G_jg,Sweet Cherubim,113,3.5
wnNRw7Uo6LVlZxCBYDJnLw,Bombay Kitchen and Bar,43,4.0
LtAYiTJQIQXA2bxTpHZBJQ,Kulinarya,56,3.5
YVVXdCm8GYmRpy13WkDKTA,Mogu Fried Chicken,23,4.5
WWTTonzyOSAs4bIlGxux3Q,Thai Basil,42,4.0
bgzFQZFIItkDGTVj9pFwRA,Pizza Garden Commercial,92,2.5
5DHwjdoJPV8i8IFoqzT-SA,The Pizza Castle & Indian Curry,17,4.0
FkO87g41cGwRWbVneVb2Iw,Britannia Sushi,64,3.0
p7fplGQcl_LKK2dWgiWAEw,Portuguese Club of Vancouver,22,3.5
vcgPf-1LtL7rIWbdwDfhYQ,Megabite Pizza,18,3.5
KJ0Ao8jHxf7SJXUToPeIGQ,Joe's Cafe Bar,23,3.5
HwdvolydGGGqQSpheBrNsA,Tamam To Go,1,5.0
Y0gFX8lk1vOfmc2OYnjsBA,Community Taps + Pizza,4,2.5
1RCJNQnqpTZjNn2YbWn4-Q,Parade of the Lost Souls,10,4.5
w-hfHmpgdu6ocjelPIvZqw,Unity Yoga Community,8,4.5
