Station ID,latitude,longitude,Bars - All,Bars - Open,Restaurants - All,Restaurants - Open,Shopping - All,Shopping - Open,Education - All,Education - Open,Arts and Entertainment - All,Arts and Entertainment - Open,Total - All Venues,Total - Open Venues
7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,1,1,7,3,4,1,1,1,1,0,14,6
32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,7,2,25,15,23,10,2,0,3,0,60,27
6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,1,1,9,6,3,0,1,0,2,0,16,7
66f873d641d448bd1572ab086665a458,49.260599,-123.113504,0,0,1,0,1,0,0,0,0,0,2,0
485d4d24c803cfde829ab89699fed833,49.264215,-123.117772,0,0,8,4,7,2,7,0,0,0,22,6
b07d513f87897cff7319a0e59d7e567c,49.270877,-123.115103,0,0,0,0,1,0,2,0,0,0,3,0
d1c9556d92f329703229fb3e33899a3b,49.26893,-123.11813,3,2,6,3,1,1,0,0,0,0,10,6
95e624191c655f50e401d280cd39a9ad,49.271721,-123.104207,0,0,0,0,0,0,1,0,1,0,2,0
3e112f9fe877e0003780386359060ae6,49.287214,-123.11287,1,0,12,6,10,0,1,0,2,1,26,7
6993b3dbb0758927967592ea612a2b1e,49.282409,-123.118541,1,1,19,12,50,47,15,0,0,0,85,60
bf8408067b0e0c963f3ff526977bcef3,49.287097,-123.118551,0,0,25,11,19,3,5,0,2,0,51,14
d2244f1a81d317c76cabd65e81250835,49.273471,-123.118016,0,0,3,0,5,3,0,0,0,0,8,3
0b543fc4e694fe07a54dac48bb1b3390,49.282758,-123.122092,1,0,14,6,42,15,5,1,2,0,64,22
1b4c6f63f4bfbbd983992dbdca776865,49.286042,-123.113176,0,0,7,3,18,4,4,0,2,1,31,8
fbb1d30d7f30b049873f5be5688563d4,49.28602,-123.116624,2,2,17,7,26,9,18,2,2,1,65,21
7181df50ee1d1a05559399211382b7c8,49.279739,-123.116251,2,2,27,18,17,5,3,0,5,0,54,25
2ef000bc9d4650d8cc6198c4d570b19f,49.277483,-123.114279,1,1,6,4,9,3,8,2,4,1,28,11
b7683a86874e6300fd89f4cc0b075f57,49.275679,-123.116963,0,0,0,0,3,0,1,0,3,2,7,2
3367c1e1dbf73caf7c10e4c96a92f58d,49.282759,-123.106955,6,3,13,8,17,6,11,2,9,1,56,20
1d7e73b3321ebb6713774d376247d9f9,49.288444,-123.139203,0,0,20,13,17,6,2,0,2,0,41,19
664502c28e8147615f17b8ea355f40d0,49.289124,-123.12196,1,1,6,2,7,2,4,0,2,0,20,5
6c24a62b5ee0a2a8014eb0dfb6d40025,49.28062,-123.12482,3,1,17,11,10,3,9,3,2,1,41,19
fad9ebcf614dd1a72593a34072ff76f8,49.279938,-123.127478,1,1,7,5,8,5,4,0,2,0,22,11
3a4131fa94946d93d3529136efd62413,49.273663,-123.127075,0,0,3,2,4,2,1,0,0,0,8,4
25318ec3e06fae1397a3a2f645104149,49.28972,-123.144028,0,0,0,0,1,0,0,0,0,0,1,0
444991edc9550be0908f032da5e3c95f,49.285253,-123.134356,0,0,0,0,2,0,0,0,2,1,4,1
434b6f4e7fc30198f901b60fc905f609,49.283343,-123.131099,0,0,0,0,1,0,0,0,0,0,1,0
f97d5bf41f35aa181288429fb52e3488,49.284605,-123.108662,2,2,11,7,43,14,13,5,6,2,75,30
fef69fb400210d861107a61db954d037,49.279821,-123.10802,0,0,14,11,12,5,3,0,0,0,29,16
9d3123425823420514b8ad410074f02d,49.278004,-123.105664,0,0,0,0,0,0,1,1,0,0,1,1
f1ca711137cde59e824167a4274df888,49.279342,-123.101822,1,0,7,1,4,3,0,0,3,0,15,4
4f6ebf2026d540ffe40e29a80138ad5e,49.273833,-123.114373,0,0,0,0,1,0,0,0,0,0,1,0
be14efdc86dedd6a8cd338e78ab4e7c7,49.28526,-123.141809,0,0,0,0,0,0,0,0,0,0,0,0
6ddeafa873279951630a00191333c45d,49.281506,-123.120101,2,1,14,10,50,24,5,1,6,1,77,37
c7b5bec0b2f4ab9a2d3f9d837725620c,49.276115,-123.114496,2,0,7,4,12,5,0,0,0,0,21,9
b9fd847d53fe45658fee4c46e7f562b8,49.272827,-123.147744,2,0,13,11,2,1,3,1,0,0,20,13
c2be5403b1c101e8032cf6696457200e,49.269361,-123.13782,0,0,5,2,7,1,1,1,0,0,13,4
71c064fa93cab5f0b7306e6c923b77c4,49.2653,-123.13811,0,0,2,1,15,6,0,0,7,3,24,10
96bf713e60bc35cc2feb5fd53a4f3471,49.262598,-123.138921,1,0,4,2,25,9,3,0,0,0,33,11
8dc684732a2a25bdf63ec0ecccee4e6e,49.25894,-123.139272,0,0,8,5,38,16,0,0,2,2,48,23
686c0fdb962e26e274d81fc286c010dd,49.258763,-123.115392,0,0,9,2,6,1,0,0,0,0,15,3
0cf6cd1809fa7f510812f5b052f578c4,49.266724,-123.104824,0,0,4,4,12,4,1,0,0,0,17,8
93c88a18c673e2c72a6afa93d6b89f18,49.262141,-123.101961,1,0,8,5,17,6,0,0,5,3,31,14
8fb5ce1e34ad31de940481953aea452c,49.268269,-123.147885,0,0,17,13,21,7,1,0,1,0,40,20
aa704bfba40286bd0661b64d1f75e778,49.275717,-123.142564,0,0,0,0,0,0,0,0,0,0,0,0
8c9ea7f2132376859ef34fab981d6932,49.276436,-123.11877,3,0,13,6,27,5,3,0,2,1,48,12
1d4153659a0a0a2089078c739df6737d,49.277844,-123.120942,1,0,5,1,3,0,2,1,3,1,14,3
fbb4c06b719596c21f91fd51ef6d4710,49.265089,-123.119425,0,0,1,1,1,0,0,0,0,0,2,1
72c1049dfbbde7c24ec45c14f1a5ee85,49.28026,-123.135244,0,0,0,0,0,0,0,0,1,0,1,0
00fa94ad698dc4a9e4d708d6fd32f294,49.291909,-123.140713,1,0,0,0,0,0,0,0,0,0,1,0
efa947b901a2cf85b58320b3ad26a2fe,49.293257,-123.138563,0,0,0,0,0,0,1,0,0,0,1,0
66a53e9c32e4f5c724f9478240020142,49.288011,-123.132006,0,0,1,1,2,0,0,0,0,0,3,1
97b25faf822b93fdbf72da1d594c0288,49.28117,-123.104419,1,0,6,1,19,3,1,0,7,3,34,7
6c7fb9043e6df5a4cc50404581a947b9,49.283227,-123.120523,3,0,11,6,31,9,5,0,5,3,55,18
30bf49544b1c864688b78172d42cca5e,49.299292,-123.130281,0,0,0,0,0,0,0,0,1,1,1,1
9f63cebac9073eac3e90be2b9a91b02b,49.29534,-123.150433,0,0,0,0,0,0,0,0,0,0,0,0
9aa325529164ec68b4d96c4f1c4fc7c1,49.294318,-123.148808,0,0,0,0,0,0,0,0,0,0,0,0
e3d32ad772a5898c3b96c4d23d2cd542,49.298657,-123.121176,0,0,0,0,1,1,0,0,0,0,1,1
625a2ad202275c8e2be3ce868e85b105,49.259183,-123.120126,0,0,0,0,0,0,3,0,0,0,3,0
6c0de983fb47a3439a9e3c36a3d15804,49.263837,-123.105173,1,1,4,2,18,0,4,0,5,1,32,4
92c9e62c0b42adf4759c430009d3987a,49.270721,-123.146175,0,0,3,2,26,15,2,0,0,0,31,17
51e4d3731aebbf9c3186f310a08de6c8,49.265605,-123.152566,0,0,1,0,1,1,0,0,0,0,2,1
826af7eee4ce28b6fa4b4f0211305792,49.267222,-123.153157,0,0,0,0,13,4,0,0,2,0,15,4
4cb84c9a3743287019ae00ceef9a1cd3,49.262255,-123.126217,0,0,2,1,2,0,2,0,0,0,6,1
56fef9ba0af67a4ff3e661a8e02c0b08,49.257654,-123.153212,0,0,1,1,2,1,0,0,0,0,3,2
c81f75a80312c51ceaef1304beac1990,49.25919,-123.148268,0,0,0,0,0,0,0,0,0,0,0,0
afacb2133f2462aba7748cc21b71c788,49.25741,-123.148531,0,0,0,0,0,0,0,0,0,0,0,0
a9f0b06d07f89b75e92c0cf686223aea,49.285953,-123.124066,2,0,9,4,12,5,3,0,1,0,27,9
686b314a6c3348efd2297d6b3dfed1a7,49.280881,-123.130672,0,0,16,11,13,5,0,0,3,2,32,18
0d1b5c62f8d22e3650811df55596e25b,49.256845,-123.120071,0,0,1,0,3,1,1,0,1,0,6,1
521c2122c791ed038168c3b8ff24061b,49.25849,-123.104799,0,0,0,0,1,0,0,0,0,0,1,0
838d5bb59963474ad08a6d5b156943ed,49.258425,-123.100792,3,1,21,14,15,5,2,0,0,0,41,20
b9ab6ce009eda6006ade1d7568d9db9c,49.270905,-123.126006,0,0,0,0,0,0,0,0,0,0,0,0
9ec4163496363b31ab475cb851b57b21,49.273568,-123.129935,0,0,0,0,0,0,0,0,0,0,0,0
fedff7a263c182df94bda7307059cc52,49.277141,-123.122589,1,0,2,1,3,2,2,0,1,0,9,3
b9baf685b7053de899bf3467f61c2781,49.267859,-123.145782,0,0,16,9,37,11,0,0,0,0,53,20
8d6f0cbf7d44d2908c8ce73ed00dbf66,49.265336,-123.145823,1,1,9,4,15,5,2,0,0,0,27,10
988f8f74c4a12d1a30ddf2f7cd6318f8,49.267628,-123.127698,0,0,0,0,0,0,2,0,0,0,2,0
2f09a64507cf6257c67ca20af27339eb,49.275938,-123.145939,0,0,0,0,0,0,0,0,2,1,2,1
73f388336d879bedc962cd412eb0296e,49.2756,-123.102661,0,0,0,0,1,0,1,0,0,0,2,0
cb6fddfdac7d350d25be475c7ab9e05a,49.284157,-123.099917,1,0,2,1,1,0,2,0,2,0,8,1
cadc004f0903ef45e898032143c0832f,49.258924,-123.152591,0,0,0,0,0,0,1,0,0,0,1,0
57e928d8c30fab0ebffb3ede850f89d6,49.266774,-123.141135,0,0,4,3,3,0,1,0,1,0,9,3
6526a2eb3832f9ba0224d237e901ea5b,49.273355,-123.154493,0,0,0,0,0,0,0,0,0,0,0,0
e44c2235dd603dbee54fe08f7543e85a,49.276144,-123.151272,0,0,0,0,0,0,0,0,0,0,0,0
3596b4831ee2ea7812de753b32306835,49.268339,-123.157443,1,1,8,6,18,11,0,0,0,0,27,18
c448b73d92f7f8e1daafb3b9c5fbe6a6,49.284062,-123.095097,3,1,8,3,5,1,3,2,1,0,20,7
5fc29e0ac42c11abb45bf12aaeb925bd,49.261742,-123.13148,0,0,0,0,0,0,0,0,0,0,0,0
61901a235d4cfceb7f8f2c3888b98617,49.262206,-123.109091,0,0,1,1,3,1,1,0,0,0,5,2
175a074bf65455d1633639511dc129c8,49.27023,-123.10651,3,2,6,6,6,1,0,0,2,0,17,9
35eb539fb9298bb7e4f6759ca0256505,49.262062,-123.104656,0,0,1,0,6,5,1,0,0,0,8,5
7b8dfa12900bcb02b47a14e4e5010ba3,49.27033,-123.10275,0,0,1,1,3,0,0,0,0,0,4,1
b30ed0719dd281867a4d39779c78b58a,49.258902,-123.109596,0,0,0,0,0,0,0,0,0,0,0,0
e1a4d91fdae7e18483373f648141e53e,49.282224,-123.132778,3,2,21,12,11,6,1,0,2,0,38,20
ace20c241ee38643c9060f290b215b9d,49.265071,-123.123864,0,0,0,0,6,1,0,0,1,0,7,1
3aed670ccdcd94b966c0f505f8b028c7,49.265198,-123.131043,0,0,0,0,2,1,0,0,0,0,2,1
ae69aeab748d02e5a7d89da28a1a8511,49.273691,-123.102232,0,0,1,1,1,0,0,0,1,0,3,1
0c9ad3e3703e5869b82619ecdf54f43e,49.2685027,-123.0975014,0,0,2,2,13,1,2,0,4,3,21,6
852212d6d52b5f00544fad01d21c7db2,49.278529,-123.100017,3,1,20,10,8,3,1,1,4,4,36,19
f3708906ec71348f5a42579fede36a0d,49.288682,-123.11818,1,0,4,2,9,1,0,0,2,0,16,3
