Station ID,Empty Slots,Available Bikes,Total Slots,Proportion of Available Bikes (%)
7a19c49f486d7c0c02b3685d7b240448,16,19,35,54.0
32603a87cfca71d0f7dfa3513bad69d5,3,13,16,81.0
6d42fa40360f9a6b2bf641c7b8bb2862,7,19,26,73.0
66f873d641d448bd1572ab086665a458,11,5,16,31.0
485d4d24c803cfde829ab89699fed833,8,8,16,50.0
b07d513f87897cff7319a0e59d7e567c,6,8,14,57.0
d1c9556d92f329703229fb3e33899a3b,11,3,14,21.0
95e624191c655f50e401d280cd39a9ad,15,5,20,25.0
3e112f9fe877e0003780386359060ae6,15,11,26,42.0
6993b3dbb0758927967592ea612a2b1e,17,3,20,15.0
bf8408067b0e0c963f3ff526977bcef3,12,14,26,54.0
d2244f1a81d317c76cabd65e81250835,13,9,22,41.0
0b543fc4e694fe07a54dac48bb1b3390,19,11,30,37.0
1b4c6f63f4bfbbd983992dbdca776865,1,21,22,95.0
fbb1d30d7f30b049873f5be5688563d4,7,15,22,68.0
7181df50ee1d1a05559399211382b7c8,16,4,20,20.0
2ef000bc9d4650d8cc6198c4d570b19f,14,6,20,30.0
b7683a86874e6300fd89f4cc0b075f57,6,8,14,57.0
3367c1e1dbf73caf7c10e4c96a92f58d,1,21,22,95.0
1d7e73b3321ebb6713774d376247d9f9,2,16,18,89.0
664502c28e8147615f17b8ea355f40d0,2,12,14,86.0
6c24a62b5ee0a2a8014eb0dfb6d40025,15,3,18,17.0
fad9ebcf614dd1a72593a34072ff76f8,10,5,15,33.0
3a4131fa94946d93d3529136efd62413,12,2,14,14.0
25318ec3e06fae1397a3a2f645104149,0,14,14,100.0
444991edc9550be0908f032da5e3c95f,11,1,12,8.0
434b6f4e7fc30198f901b60fc905f609,12,10,22,45.0
f97d5bf41f35aa181288429fb52e3488,15,17,32,53.0
fef69fb400210d861107a61db954d037,1,27,28,96.0
9d3123425823420514b8ad410074f02d,2,14,16,88.0
f1ca711137cde59e824167a4274df888,1,13,14,93.0
4f6ebf2026d540ffe40e29a80138ad5e,17,9,26,35.0
be14efdc86dedd6a8cd338e78ab4e7c7,1,25,26,96.0
6ddeafa873279951630a00191333c45d,14,16,30,53.0
c7b5bec0b2f4ab9a2d3f9d837725620c,0,14,14,100.0
b9fd847d53fe45658fee4c46e7f562b8,0,22,22,100.0
c2be5403b1c101e8032cf6696457200e,3,25,28,89.0
71c064fa93cab5f0b7306e6c923b77c4,6,8,14,57.0
96bf713e60bc35cc2feb5fd53a4f3471,4,10,14,71.0
8dc684732a2a25bdf63ec0ecccee4e6e,12,2,14,14.0
686c0fdb962e26e274d81fc286c010dd,11,3,14,21.0
0cf6cd1809fa7f510812f5b052f578c4,12,8,20,40.0
93c88a18c673e2c72a6afa93d6b89f18,15,3,18,17.0
8fb5ce1e34ad31de940481953aea452c,5,13,18,72.0
aa704bfba40286bd0661b64d1f75e778,16,12,28,43.0
8c9ea7f2132376859ef34fab981d6932,15,5,20,25.0
1d4153659a0a0a2089078c739df6737d,17,1,18,6.0
fbb4c06b719596c21f91fd51ef6d4710,9,9,18,50.0
72c1049dfbbde7c24ec45c14f1a5ee85,10,10,20,50.0
00fa94ad698dc4a9e4d708d6fd32f294,1,17,18,94.0
efa947b901a2cf85b58320b3ad26a2fe,6,10,16,62.0
66a53e9c32e4f5c724f9478240020142,9,9,18,50.0
97b25faf822b93fdbf72da1d594c0288,0,18,18,100.0
6c7fb9043e6df5a4cc50404581a947b9,13,15,28,54.0
30bf49544b1c864688b78172d42cca5e,9,7,16,44.0
9f63cebac9073eac3e90be2b9a91b02b,11,5,16,31.0
9aa325529164ec68b4d96c4f1c4fc7c1,8,10,18,56.0
e3d32ad772a5898c3b96c4d23d2cd542,7,13,20,65.0
625a2ad202275c8e2be3ce868e85b105,10,8,18,44.0
6c0de983fb47a3439a9e3c36a3d15804,9,7,16,44.0
92c9e62c0b42adf4759c430009d3987a,5,21,26,81.0
51e4d3731aebbf9c3186f310a08de6c8,14,2,16,12.0
826af7eee4ce28b6fa4b4f0211305792,12,4,16,25.0
4cb84c9a3743287019ae00ceef9a1cd3,16,13,30,43.0
56fef9ba0af67a4ff3e661a8e02c0b08,31,9,40,22.0
c81f75a80312c51ceaef1304beac1990,11,1,12,8.0
afacb2133f2462aba7748cc21b71c788,7,5,12,42.0
a9f0b06d07f89b75e92c0cf686223aea,9,3,12,25.0
686b314a6c3348efd2297d6b3dfed1a7,15,1,16,6.0
0d1b5c62f8d22e3650811df55596e25b,6,6,12,50.0
521c2122c791ed038168c3b8ff24061b,13,3,16,19.0
838d5bb59963474ad08a6d5b156943ed,11,3,14,21.0
b9ab6ce009eda6006ade1d7568d9db9c,9,9,18,50.0
9ec4163496363b31ab475cb851b57b21,11,7,18,39.0
fedff7a263c182df94bda7307059cc52,18,0,18,0.0
b9baf685b7053de899bf3467f61c2781,1,15,16,94.0
8d6f0cbf7d44d2908c8ce73ed00dbf66,15,1,16,6.0
988f8f74c4a12d1a30ddf2f7cd6318f8,4,10,14,71.0
2f09a64507cf6257c67ca20af27339eb,12,4,16,25.0
73f388336d879bedc962cd412eb0296e,4,14,18,78.0
cb6fddfdac7d350d25be475c7ab9e05a,11,9,20,45.0
cadc004f0903ef45e898032143c0832f,11,9,20,45.0
57e928d8c30fab0ebffb3ede850f89d6,6,10,16,62.0
6526a2eb3832f9ba0224d237e901ea5b,21,18,39,46.0
e44c2235dd603dbee54fe08f7543e85a,5,25,30,83.0
3596b4831ee2ea7812de753b32306835,12,6,18,33.0
c448b73d92f7f8e1daafb3b9c5fbe6a6,11,3,14,21.0
5fc29e0ac42c11abb45bf12aaeb925bd,6,8,14,57.0
61901a235d4cfceb7f8f2c3888b98617,14,0,14,0.0
175a074bf65455d1633639511dc129c8,5,27,32,84.0
35eb539fb9298bb7e4f6759ca0256505,19,1,20,5.0
7b8dfa12900bcb02b47a14e4e5010ba3,3,17,20,85.0
b30ed0719dd281867a4d39779c78b58a,14,0,14,0.0
e1a4d91fdae7e18483373f648141e53e,1,19,20,95.0
ace20c241ee38643c9060f290b215b9d,8,6,14,43.0
3aed670ccdcd94b966c0f505f8b028c7,10,6,16,38.0
ae69aeab748d02e5a7d89da28a1a8511,6,10,16,62.0
0c9ad3e3703e5869b82619ecdf54f43e,3,17,20,85.0
852212d6d52b5f00544fad01d21c7db2,4,16,20,80.0
f3708906ec71348f5a42579fede36a0d,9,9,18,50.0
d145b7498709289702095a4a2fcb2e03,11,1,12,8.0
9449a6a83fbf88452e384350e5ac95b7,1,19,20,95.0
365da33e9ce06ea53db1173a0f8eae71,20,0,20,0.0
707c1c54e0278fbae5d0ae3c42a25b71,9,3,12,25.0
5105df3dd0daf4c26980f4134f61e5cc,18,2,20,10.0
82c794442f54fabf9db6e392ca1fac0f,1,19,20,95.0
2ca388bba54706770900ca2a9d7aa5be,7,7,14,50.0
e7bf01431a6982f032996ad50a9e5bd7,2,12,14,86.0
1648ead5ea617d2cea115869d9516f5e,6,12,18,67.0
91035fe1d70b65c9cb8ec4a007af7c7f,0,14,14,100.0
d3aaff4414a8c3fd5480c470f77ff68a,5,17,22,77.0
b307709b305dd04328fbbf2c6db86419,8,8,16,50.0
e9c4bd1fffbb1e5b058b8ea15f7307f6,1,15,16,94.0
bb0847559ce71c93d8215c0997ea2811,9,5,14,36.0
1ef5c4ff3f0b09422bb1597fd9d7568b,14,6,20,30.0
ac3b8198f03754a0afb8b6ed6d220cdd,9,5,14,36.0
029a505bd4422a1afd127987757f71a6,7,7,14,50.0
0459b7e93703980b853cd65a9dc60596,5,9,14,64.0
a21f40838346e300063bdda3c5c04105,11,17,28,61.0
209fb233aff275020a640c8c40a18d90,11,9,20,45.0
6b1622540fe5c85d365754dd8c20bf0c,9,5,14,36.0
ebc551adb0fc1a684f4080e4954a9ba4,20,2,22,9.0
