Station ID,Bars - All,Restaurants - All,Shopping - All,Education - All,Arts and Entertainment - All,Total - All Venues
7a19c49f486d7c0c02b3685d7b240448,1,7,4,1,1,14
32603a87cfca71d0f7dfa3513bad69d5,7,25,23,2,3,60
6d42fa40360f9a6b2bf641c7b8bb2862,1,9,3,1,2,16
66f873d641d448bd1572ab086665a458,0,1,1,0,0,2
485d4d24c803cfde829ab89699fed833,0,8,7,7,0,22
b07d513f87897cff7319a0e59d7e567c,0,0,1,2,0,3
d1c9556d92f329703229fb3e33899a3b,3,6,1,0,0,10
95e624191c655f50e401d280cd39a9ad,0,0,0,1,1,2
3e112f9fe877e0003780386359060ae6,1,12,10,1,2,26
6993b3dbb0758927967592ea612a2b1e,1,19,50,15,0,85
bf8408067b0e0c963f3ff526977bcef3,0,25,19,5,2,51
d2244f1a81d317c76cabd65e81250835,0,3,5,0,0,8
0b543fc4e694fe07a54dac48bb1b3390,1,14,42,5,2,64
1b4c6f63f4bfbbd983992dbdca776865,0,7,18,4,2,31
fbb1d30d7f30b049873f5be5688563d4,2,17,26,18,2,65
7181df50ee1d1a05559399211382b7c8,2,27,17,3,5,54
2ef000bc9d4650d8cc6198c4d570b19f,1,6,9,8,4,28
b7683a86874e6300fd89f4cc0b075f57,0,0,3,1,3,7
3367c1e1dbf73caf7c10e4c96a92f58d,6,13,17,11,9,56
1d7e73b3321ebb6713774d376247d9f9,0,20,17,2,2,41
664502c28e8147615f17b8ea355f40d0,1,6,7,4,2,20
6c24a62b5ee0a2a8014eb0dfb6d40025,3,17,10,9,2,41
fad9ebcf614dd1a72593a34072ff76f8,1,7,8,4,2,22
3a4131fa94946d93d3529136efd62413,0,3,4,1,0,8
25318ec3e06fae1397a3a2f645104149,0,0,1,0,0,1
444991edc9550be0908f032da5e3c95f,0,0,2,0,2,4
434b6f4e7fc30198f901b60fc905f609,0,0,1,0,0,1
f97d5bf41f35aa181288429fb52e3488,2,11,43,13,6,75
fef69fb400210d861107a61db954d037,0,14,12,3,0,29
9d3123425823420514b8ad410074f02d,0,0,0,1,0,1
f1ca711137cde59e824167a4274df888,1,7,4,0,3,15
4f6ebf2026d540ffe40e29a80138ad5e,0,0,1,0,0,1
be14efdc86dedd6a8cd338e78ab4e7c7,0,0,0,0,0,0
6ddeafa873279951630a00191333c45d,2,14,50,5,6,77
c7b5bec0b2f4ab9a2d3f9d837725620c,2,7,12,0,0,21
b9fd847d53fe45658fee4c46e7f562b8,2,13,2,3,0,20
c2be5403b1c101e8032cf6696457200e,0,5,7,1,0,13
71c064fa93cab5f0b7306e6c923b77c4,0,2,15,0,7,24
96bf713e60bc35cc2feb5fd53a4f3471,1,4,25,3,0,33
8dc684732a2a25bdf63ec0ecccee4e6e,0,8,38,0,2,48
686c0fdb962e26e274d81fc286c010dd,0,9,6,0,0,15
0cf6cd1809fa7f510812f5b052f578c4,0,4,12,1,0,17
93c88a18c673e2c72a6afa93d6b89f18,1,8,17,0,5,31
8fb5ce1e34ad31de940481953aea452c,0,17,21,1,1,40
aa704bfba40286bd0661b64d1f75e778,0,0,0,0,0,0
8c9ea7f2132376859ef34fab981d6932,3,13,27,3,2,48
